OverallQual,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,SalePrice,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Neighborhood_nan,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,HouseStyle_nan,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Heating_nan,CentralAir_N,CentralAir_Y,CentralAir_nan,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SaleCondition_nan
0.6666666666666666,0.9492753623188406,0.8833333333333333,0.10964083175803403,0.4135593220338983,0.2592313489073097,0.5,0.375,0.3333333333333333,0.46153846153846156,0.0,0.3682795698924731,0.24107762810720734,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.5555555555555556,0.7536231884057971,0.43333333333333335,0.19491703423650494,0.0,0.17483044461190655,0.5,0.375,0.3333333333333333,0.3076923076923077,0.25,0.30913978494623656,0.2035828357172615,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.6666666666666666,0.9347826086956522,0.8666666666666667,0.12308338584331023,0.41937046004842615,0.27354935945742276,0.5,0.375,0.3333333333333333,0.3076923076923077,0.25,0.40860215053763443,0.2619080683238439,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.6666666666666666,0.3115942028985507,0.3333333333333333,0.13169502205419029,0.36610169491525424,0.2605501130369254,0.25,0.375,0.3333333333333333,0.38461538461538464,0.25,0.4314516129032258,0.1459519511179003,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0.7777777777777778,0.927536231884058,0.8333333333333334,0.17034236504935937,0.5099273607748184,0.35116804822908815,0.5,0.5,0.3333333333333333,0.5384615384615384,0.25,0.5618279569892473,0.2987085127065685,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.4444444444444444,0.8768115942028986,0.75,0.09703843730308759,0.27409200968523,0.19366993217784476,0.25,0.125,0.3333333333333333,0.23076923076923078,0.0,0.3225806451612903,0.1501180391612276,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.7777777777777778,0.9565217391304348,0.9166666666666666,0.2856542743121193,0.0,0.2562170308967596,0.5,0.375,0.3333333333333333,0.38461538461538464,0.25,0.4274193548387097,0.3778641855297875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.6666666666666666,0.7318840579710145,0.38333333333333336,0.16236084856122662,0.47602905569007264,0.3308214016578749,0.5,0.375,0.3333333333333333,0.38461538461538464,0.5,0.32526881720430106,0.2292737119844466,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.6666666666666666,0.427536231884058,0.0,0.14450745641671917,0.3641646489104116,0.2712886209495102,0.5,0.25,0.6666666666666666,0.46153846153846156,0.5,0.31451612903225806,0.13192612137203166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0.4444444444444444,0.4855072463768116,0.0,0.1560596513337534,0.0,0.13997739261492087,0.25,0.25,0.6666666666666666,0.23076923076923078,0.5,0.13776881720430106,0.11540063880016664,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
